"id","front","back","f_w","f_h","b_w","b_h","f_size","b_size","issues"
"089","C:\Users\Nicol\musiam-front\src\data\kannon100\089\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\089\back.jpg","726","1072","726","1072","222247","237685",""
"090","C:\Users\Nicol\musiam-front\src\data\kannon100\090\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\090\back.jpg","726","1072","726","1072","225323","226787",""
"091","C:\Users\Nicol\musiam-front\src\data\kannon100\091\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\091\back.jpg","726","1072","723","1056","229044","240647",""
"092","C:\Users\Nicol\musiam-front\src\data\kannon100\092\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\092\back.jpg","726","1072","723","1056","217839","231290",""
"093","C:\Users\Nicol\musiam-front\src\data\kannon100\093\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\093\back.jpg","726","1072","726","1072","229655","243690",""
"094","C:\Users\Nicol\musiam-front\src\data\kannon100\094\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\094\back.jpg","726","1072","726","1072","238603","249533",""
"095","C:\Users\Nicol\musiam-front\src\data\kannon100\095\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\095\back.jpg","726","1072","726","1072","219205","236483",""
"096","C:\Users\Nicol\musiam-front\src\data\kannon100\096\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\096\back.jpg","726","1072","726","1072","216687","241973",""
"097","C:\Users\Nicol\musiam-front\src\data\kannon100\097\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\097\back.jpg","726","1072","726","1072","231031","245745",""
"098","C:\Users\Nicol\musiam-front\src\data\kannon100\098\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\098\back.jpg","726","1072","726","1072","232294","246988",""
"099","C:\Users\Nicol\musiam-front\src\data\kannon100\099\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\099\back.jpg","726","1072","726","1072","221113","234232",""
"100","C:\Users\Nicol\musiam-front\src\data\kannon100\100\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\100\back.jpg","726","1072","726","1072","222039","248063",""
